,SessionId,ItemId,Time,Reward
15903,8869,11115,1023840000,1.0
15679,8869,10805,1024185600,1.0
15740,8869,4100,1024185600,1.0
25472,3200,6816,1036627200,1.0
5597,8869,5732,1052611200,1.0
17574,8869,3279,1052611200,1.0
30372,14609,7432,1066003200,1.0
25347,68,4279,1069459200,1.0
5172,11471,6095,1071619200,1.0
11581,11471,9159,1071619200,1.0
35892,17860,3652,1072656000,1.0
30233,17860,9872,1072656000,1.0
162186,17860,6389,1072656000,1.0
58672,8869,7773,1073260800,1.0
60026,8869,3249,1073520000,1.0
864561,4391,8819,1073952000,1.0
194180,4391,4999,1074988800,1.0
10568,4391,9263,1076198400,1.0
849784,4391,5523,1076630400,1.0
8287,9415,2435,1076976000,1.0
13000,14918,5655,1077840000,1.0
32278,14918,4316,1077840000,1.0
32747,14918,7914,1077926400,1.0
29866,4391,9119,1078099200,1.0
6894,2243,11745,1078099200,1.0
9129,2243,10266,1079481600,1.0
617847,4391,1582,1082419200,1.0
186731,4391,5121,1082851200,1.0
55325,4391,10589,1083110400,1.0
15362,4391,8865,1083110400,1.0
397126,4391,4945,1083283200,1.0
204303,4391,2206,1083369600,1.0
75100,4391,7954,1083369600,1.0
6490,13101,3553,1084233600,1.0
476173,13101,11566,1084320000,1.0
485874,15855,2678,1084838400,1.0
94079,15855,8838,1084838400,1.0
181820,15855,8105,1084838400,1.0
182680,15855,7169,1084838400,1.0
246366,15855,11210,1084838400,1.0
491778,15855,1811,1084838400,1.0
510829,15855,8687,1084838400,1.0
299353,4391,1526,1085011200,1.0
26431,8869,2085,1085356800,1.0
49062,8869,365,1085356800,1.0
139417,8869,4306,1085443200,1.0
140079,20767,2673,1087689600,1.0
10111,2898,7321,1088467200,1.0
18071,14182,11318,1088467200,1.0
124749,13,698,1088985600,1.0
11517,13,9159,1089504000,1.0
876112,4391,8473,1090368000,1.0
619188,13631,2879,1091750400,1.0
26986,13101,5742,1091750400,1.0
619178,12133,2879,1092614400,1.0
202516,13062,11491,1093046400,1.0
82694,11471,6870,1093651200,1.0
4626,11471,8153,1093651200,1.0
45657,12133,1449,1094774400,1.0
62290,5399,2958,1095465600,1.0
20746,8869,11368,1095724800,1.0
94071,8869,8838,1095724800,1.0
12570,2898,5583,1095984000,1.0
49883,8869,6690,1097884800,1.0
157233,7360,9131,1098489600,1.0
106653,7360,2531,1098489600,1.0
93981,8869,3115,1098748800,1.0
23644,6468,5715,1098835200,1.0
70049,2777,819,1099094400,1.0
79588,4391,2174,1099180800,1.0
