Global_ID,Model_ID
12093,1
5788,2
3703,3
4216,4
11391,5
4156,6
6208,7
4879,8
7344,9
3471,10
1608,11
2825,12
4029,13
10567,14
2237,15
10840,16
7401,17
1853,18
3294,19
356,20
9718,21
7920,22
4027,23
7794,24
1440,25
5037,26
8895,27
800,28
2343,29
3558,30
11963,31
11747,32
1492,33
2779,34
11520,35
9018,36
6401,37
11978,38
570,39
8611,40
5025,41
5789,42
5435,43
10983,44
7419,45
7393,46
6997,47
1093,48
1105,49
3152,50
3678,51
10909,52
8830,53
8989,54
11538,55
9168,56
9854,57
6214,58
3458,59
2295,60
304,61
6593,62
11604,63
5166,64
11118,65
1129,66
1507,67
1420,68
11783,69
10160,70
9151,71
10405,72
10059,73
9334,74
6362,75
3834,76
5911,77
504,78
3890,79
11519,80
2675,81
6925,82
7862,83
1342,84
4504,85
1779,86
5054,87
11007,88
1821,89
3810,90
3651,91
6845,92
6115,93
1214,94
872,95
2475,96
11264,97
455,98
2939,99
3008,100
4914,101
2956,102
5961,103
10850,104
6130,105
11309,106
948,107
8512,108
6349,109
698,110
9159,111
2331,112
3611,113
4673,114
8027,115
8386,116
11818,117
2222,118
11133,119
8238,120
8563,121
11553,122
4327,123
8943,124
2532,125
2325,126
8553,127
4357,128
43,129
11205,130
4011,131
5162,132
1928,133
4448,134
9002,135
3876,136
5101,137
10491,138
8672,139
4324,140
4299,141
7120,142
2250,143
7784,144
2158,145
7427,146
11703,147
10986,148
1675,149
10911,150
8057,151
10900,152
5674,153
8851,154
7729,155
10419,156
11846,157
6425,158
11111,159
1817,160
8031,161
5315,162
584,163
9187,164
1279,165
7892,166
4813,167
10351,168
7807,169
6240,170
4382,171
4459,172
2171,173
3603,174
8661,175
1276,176
3548,177
4352,178
4045,179
7686,180
2504,181
5747,182
7152,183
8712,184
11655,185
2063,186
10985,187
1360,188
3061,189
4039,190
9559,191
4992,192
1352,193
3736,194
7471,195
6476,196
7019,197
10663,198
11522,199
10933,200
5307,201
9619,202
10245,203
4930,204
5323,205
268,206
5748,207
1486,208
36,209
1381,210
3068,211
6175,212
10787,213
2454,214
9355,215
2460,216
10037,217
6438,218
97,219
8798,220
8573,221
11058,222
5469,223
10515,224
5867,225
4597,226
4688,227
1643,228
6012,229
6020,230
9745,231
11764,232
9240,233
2899,234
3731,235
5584,236
11602,237
4032,238
5073,239
10819,240
9049,241
11912,242
506,243
6759,244
121,245
3,246
11222,247
631,248
6346,249
10493,250
1916,251
499,252
11508,253
2329,254
10406,255
5391,256
2929,257
579,258
3565,259
11197,260
8293,261
2588,262
6698,263
2055,264
8607,265
1634,266
2578,267
4861,268
9960,269
11009,270
2315,271
4202,272
12076,273
3410,274
4958,275
7071,276
9339,277
12055,278
2589,279
3396,280
8613,281
11125,282
6567,283
9457,284
10369,285
11787,286
5273,287
4949,288
4802,289
6330,290
7974,291
8816,292
9593,293
11316,294
5028,295
869,296
11310,297
1386,298
1246,299
9092,300
4233,301
8334,302
9214,303
3157,304
658,305
2024,306
2653,307
1824,308
2904,309
8907,310
11940,311
608,312
1466,313
6713,314
2254,315
6814,316
7221,317
5957,318
7541,319
9948,320
5313,321
9267,322
7823,323
1055,324
5717,325
733,326
8069,327
3897,328
3568,329
5977,330
9330,331
3059,332
2020,333
3475,334
10687,335
12050,336
10821,337
5210,338
6672,339
10527,340
9359,341
2943,342
11052,343
1582,344
10114,345
7901,346
11044,347
3936,348
6389,349
4726,350
3933,351
1734,352
3800,353
6938,354
11352,355
3086,356
9211,357
1444,358
2702,359
7566,360
7636,361
3102,362
9320,363
6244,364
4409,365
11338,366
2034,367
247,368
1166,369
8371,370
9964,371
4493,372
7657,373
8151,374
1771,375
7487,376
8328,377
3150,378
156,379
3212,380
8906,381
4699,382
4287,383
8232,384
299,385
11196,386
5652,387
1900,388
9217,389
6326,390
3937,391
1768,392
11652,393
8391,394
5861,395
5148,396
2200,397
5824,398
812,399
1804,400
11121,401
2562,402
2053,403
1387,404
9847,405
3848,406
4270,407
6088,408
3113,409
5115,410
6869,411
11593,412
7986,413
9982,414
1692,415
11743,416
11684,417
1987,418
1941,419
11329,420
12078,421
4110,422
11752,423
5725,424
2858,425
6079,426
9345,427
4316,428
7993,429
3884,430
7606,431
189,432
7972,433
10322,434
2424,435
1936,436
2587,437
11019,438
10775,439
1240,440
4822,441
7555,442
7045,443
2403,444
10729,445
11201,446
5156,447
10621,448
3679,449
4337,450
5407,451
11663,452
5825,453
11945,454
3383,455
1740,456
7386,457
988,458
10050,459
4857,460
3750,461
2421,462
7263,463
5806,464
7503,465
3325,466
7267,467
24,468
1670,469
3963,470
4933,471
3769,472
2873,473
3288,474
7995,475
2471,476
1999,477
2765,478
2316,479
10455,480
1499,481
6289,482
6530,483
7579,484
7670,485
5784,486
7308,487
1567,488
235,489
10614,490
7125,491
3290,492
5382,493
2196,494
10750,495
10051,496
9683,497
26,498
918,499
7437,500
2860,501
5487,502
11938,503
4219,504
3020,505
3484,506
4824,507
8243,508
11051,509
804,510
9831,511
6226,512
2674,513
11619,514
1151,515
5631,516
10281,517
21,518
8359,519
11624,520
5615,521
7647,522
9621,523
10176,524
11842,525
7873,526
241,527
8191,528
9721,529
1241,530
5814,531
8967,532
3745,533
3343,534
12042,535
6723,536
9545,537
9827,538
464,539
2409,540
3193,541
9020,542
4244,543
6217,544
9629,545
6771,546
6545,547
11947,548
4279,549
10712,550
4977,551
3526,552
1832,553
1513,554
1319,555
10680,556
3975,557
4334,558
1078,559
2416,560
7811,561
5655,562
2006,563
5539,564
7261,565
6587,566
6141,567
10267,568
1372,569
1862,570
7409,571
9599,572
5361,573
11259,574
2849,575
8346,576
3676,577
10658,578
9875,579
2729,580
2476,581
3811,582
6426,583
9421,584
5518,585
3516,586
6293,587
2689,588
11490,589
2540,590
3682,591
4281,592
6167,593
9869,594
8132,595
8829,596
2321,597
7984,598
1310,599
4872,600
9189,601
6875,602
4047,603
6199,604
10427,605
3036,606
5527,607
8953,608
4339,609
3033,610
6774,611
2257,612
3725,613
6014,614
8789,615
6486,616
8587,617
1899,618
7024,619
7279,620
1264,621
1598,622
8074,623
10778,624
1960,625
3515,626
3760,627
4823,628
4298,629
10824,630
10768,631
5173,632
3577,633
5090,634
11243,635
1883,636
5005,637
5982,638
5492,639
1027,640
5998,641
8433,642
4572,643
276,644
10048,645
5801,646
3755,647
7926,648
5616,649
5003,650
7142,651
3054,652
3019,653
224,654
2554,655
6449,656
11554,657
4908,658
1201,659
1848,660
6145,661
10142,662
5823,663
5830,664
6441,665
11301,666
10320,667
9218,668
5034,669
6157,670
10977,671
440,672
1473,673
3328,674
7361,675
6692,676
4886,677
7979,678
7210,679
7124,680
1756,681
7089,682
7183,683
9474,684
286,685
5503,686
4271,687
298,688
1636,689
5326,690
2464,691
7806,692
2709,693
596,694
11503,695
2660,696
9740,697
4134,698
3404,699
476,700
5726,701
7696,702
11792,703
2728,704
1417,705
6158,706
8934,707
5265,708
8961,709
5956,710
3077,711
1548,712
4078,713
10637,714
5664,715
1353,716
1677,717
3148,718
10716,719
8758,720
3139,721
6485,722
10835,723
1262,724
1252,725
5948,726
76,727
737,728
5293,729
1395,730
7610,731
3302,732
7714,733
2016,734
3112,735
8631,736
8735,737
1932,738
1569,739
4947,740
3401,741
7287,742
3812,743
4578,744
3099,745
1578,746
1760,747
1249,748
3149,749
7257,750
7273,751
7531,752
2698,753
8476,754
6304,755
12011,756
4073,757
10954,758
8694,759
8436,760
4462,761
2195,762
4955,763
9200,764
10366,765
10964,766
741,767
9852,768
8214,769
10975,770
147,771
2384,772
4661,773
5591,774
7105,775
1686,776
6837,777
10194,778
1033,779
4651,780
5884,781
11059,782
8790,783
11951,784
11246,785
6544,786
11350,787
11658,788
6778,789
2469,790
2086,791
1203,792
7835,793
7551,794
1680,795
9674,796
6554,797
5920,798
11042,799
11465,800
5459,801
279,802
11811,803
4204,804
4001,805
1183,806
10678,807
11946,808
2179,809
10632,810
2461,811
8103,812
10316,813
8518,814
8818,815
3397,816
5855,817
11759,818
7637,819
5914,820
6222,821
9876,822
4126,823
6561,824
4748,825
2845,826
